service_id,date,exception_type
平日,20230503,2
土日祝,20230503,1
平日,20230504,2
土日祝,20230504,1
平日,20230505,2
土日祝,20230505,1
平日,20230717,2
土日祝,20230717,1
平日,20230811,2
土日祝,20230811,1
平日,20230918,2
土日祝,20230918,1
平日,20231009,2
土日祝,20231009,1
平日,20231103,2
土日祝,20231103,1
平日,20231123,2
土日祝,20231123,1
平日,20240101,2
土日祝,20240101,1
平日,20240102,2
土日祝,20240102,1
平日,20240103,2
土日祝,20240103,1
平日,20240108,2
土日祝,20240108,1
平日,20240212,2
土日祝,20240212,1
平日,20240223,2
土日祝,20240223,1
平日,20240320,2
土日祝,20240320,1
