table_name,field_name,field_value,language,translation
stops,stop_name,南富山駅前,ja-Hrkt,みなみとやまえきまえ
stops,stop_name,大町,ja-Hrkt,おおまち
stops,stop_name,堀川小泉,ja-Hrkt,ほりかわこいずみ
stops,stop_name,小泉町,ja-Hrkt,こいずみちょう
stops,stop_name,西中野,ja-Hrkt,にしなかの
stops,stop_name,広貫堂前,ja-Hrkt,こうかんどうまえ
stops,stop_name,上本町,ja-Hrkt,かみほんまち
stops,stop_name,西町,ja-Hrkt,にしちょう
stops,stop_name,中町（西町北）,ja-Hrkt,なかまち（にしちょうきた）
stops,stop_name,荒町,ja-Hrkt,あらまち
stops,stop_name,桜橋,ja-Hrkt,さくらばし
stops,stop_name,電気ビル前,ja-Hrkt,でんきびるまえ
stops,stop_name,地鉄ビル前,ja-Hrkt,ちてつびるまえ
stops,stop_name,電鉄富山駅・エスタ前,ja-Hrkt,でんてつとやまえき・えすたまえ
stops,stop_name,富山駅,ja-Hrkt,とやまえき
stops,stop_name,新富町,ja-Hrkt,しんとみちょう
stops,stop_name,県庁前,ja-Hrkt,けんちょうまえ
stops,stop_name,丸の内,ja-Hrkt,まるのうち
stops,stop_name,諏訪川原,ja-Hrkt,すわのかわら
stops,stop_name,安野屋,ja-Hrkt,やすのや
stops,stop_name,トヨタモビリティ富山Gスクエア五福前,ja-Hrkt,とよたもびりてぃとやまじーすくえあごふくまえ
stops,stop_name,富山大学前,ja-Hrkt,とやまだいがくまえ
stops,stop_name,国際会議場前,ja-Hrkt,こくさいかいぎじょうまえ
stops,stop_name,大手モール,ja-Hrkt,おおてもーる
stops,stop_name,グランドプラザ前,ja-Hrkt,ぐらんどぷらざまえ
stops,stop_name,岩瀬浜,ja-Hrkt,いわせはま
stops,stop_name,競輪場前,ja-Hrkt,けいりんじょうまえ
stops,stop_name,東岩瀬,ja-Hrkt,ひがしいわせ
stops,stop_name,萩浦小学校前,ja-Hrkt,はぎうらしょうがっこうまえ
stops,stop_name,蓮町（馬場記念公園前）,ja-Hrkt,はすまち（ばばきねんこうえんまえ）
stops,stop_name,犬島新町,ja-Hrkt,いぬじましんまち
stops,stop_name,城川原,ja-Hrkt,じょうがわら
stops,stop_name,越中中島,ja-Hrkt,えっちゅうなかじま
stops,stop_name,粟島（大阪屋ショップ前）,ja-Hrkt,あわしま（おおさかやしょっぷまえ）
stops,stop_name,下奥井,ja-Hrkt,しもおくい
stops,stop_name,奥田中学校前,ja-Hrkt,おくだちゅうがっこうまえ
stops,stop_name,龍谷富山高校前（永楽町）,ja-Hrkt,りゅうこくとやまこうこうまえ（えいらくちょう）
stops,stop_name,インテック本社前,ja-Hrkt,いんてっくほんしゃまえ
stops,stop_name,オークスカナルパークホテル富山前,ja-Hrkt,おーくすかなるぱーくほてるとやままえ
