service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
S000001,1,1,1,1,1,0,0,20230403,20230929
S000002,0,0,0,0,0,1,0,20230401,20230930
S000003,0,0,0,0,0,0,1,20230402,20230924
S000004,0,0,0,0,0,0,1,20230402,20230924
S000005,1,1,1,1,1,0,0,20230403,20230929
S000006,0,0,0,0,0,1,1,20230401,20230930
S000009,0,0,0,0,0,1,1,20230401,20230812
S000010,1,1,1,1,1,1,1,20230401,20230930
S000011,1,1,1,1,1,0,0,20230410,20230929
S000013,1,1,1,1,1,1,1,20230722,20230831
S000014,0,0,0,0,0,1,1,20230415,20230717
