service_id,date,exception_type
S000001,20230503,2
S000001,20230504,2
S000001,20230505,2
S000001,20230717,2
S000001,20230811,2
S000001,20230814,2
S000001,20230815,2
S000001,20230816,2
S000001,20230918,2
S000002,20230429,2
S000002,20230923,2
S000003,20230429,1
S000003,20230503,1
S000003,20230504,1
S000003,20230505,1
S000003,20230717,1
S000003,20230811,1
S000003,20230814,1
S000003,20230815,1
S000003,20230816,1
S000003,20230918,1
S000003,20230923,1
S000004,20230429,1
S000004,20230503,1
S000004,20230504,1
S000004,20230505,1
S000004,20230717,1
S000004,20230811,1
S000004,20230918,1
S000004,20230923,1
S000005,20230503,2
S000005,20230504,2
S000005,20230505,2
S000005,20230717,2
S000005,20230811,2
S000005,20230918,2
S000006,20230503,1
S000006,20230504,1
S000006,20230505,1
S000006,20230717,1
S000006,20230811,1
S000006,20230814,1
S000006,20230815,1
S000006,20230816,1
S000006,20230918,1
S000007,20230819,1
S000007,20230820,1
S000007,20230826,1
S000007,20230827,1
S000007,20230902,1
S000007,20230903,1
S000007,20230909,1
S000007,20230910,1
S000007,20230916,1
S000007,20230917,1
S000007,20230918,1
S000007,20230923,1
S000007,20230924,1
S000007,20230930,1
S000008,20230813,1
S000008,20230814,1
S000008,20230815,1
S000008,20230816,1
S000009,20230503,1
S000009,20230504,1
S000009,20230505,1
S000009,20230717,1
S000009,20230811,1
S000011,20230503,2
S000011,20230504,2
S000011,20230505,2
S000011,20230717,2
S000011,20230724,2
S000011,20230725,2
S000011,20230726,2
S000011,20230727,2
S000011,20230728,2
S000011,20230731,2
S000011,20230801,2
S000011,20230802,2
S000011,20230803,2
S000011,20230804,2
S000011,20230807,2
S000011,20230808,2
S000011,20230809,2
S000011,20230810,2
S000011,20230811,2
S000011,20230814,2
S000011,20230815,2
S000011,20230816,2
S000011,20230817,2
S000011,20230818,2
S000011,20230821,2
S000011,20230822,2
S000011,20230823,2
S000011,20230824,2
S000011,20230825,2
S000011,20230828,2
S000011,20230829,2
S000011,20230830,2
S000011,20230831,2
S000011,20230918,2
S000012,20230902,1
S000012,20230903,1
S000012,20230909,1
S000012,20230910,1
S000012,20230916,1
S000012,20230917,1
S000012,20230918,1
S000012,20230923,1
S000012,20230924,1
S000012,20230930,1
S000014,20230503,1
S000014,20230504,1
S000014,20230505,1
S000014,20230717,1
S000015,20230401,1
S000015,20230402,1
S000015,20230403,1
S000015,20230404,1
S000015,20230405,1
S000015,20230406,1
S000015,20230407,1
S000015,20230408,1
S000015,20230409,1
