stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
S0904000001,鹿沼駅,36.5704997734045,139.762007413063,0,1,,,,,,,
S090400000100100,鹿沼駅,36.5698054221939,139.762528231037,Z000800,0,S0904000001,,,,,,１
S090400000100200,鹿沼駅,36.5699182508728,139.7623199108,Z000800,0,S0904000001,,,,,,２
S090400000100300,鹿沼駅,36.5710726173193,139.761729634938,Z000800,0,S0904000001,,,,,,３
S090400000100400,鹿沼駅,36.5709337480298,139.76186851778,Z000800,0,S0904000001,,,,,,４
S0904000002,府所,36.5685467304568,139.756903766123,0,1,,,,,,,
S090400000200100,府所,36.5685640934031,139.757042642378,Z000810,0,S0904000002,,,,,,
S090400000200200,府所,36.5685467266479,139.756764889137,Z000810,0,S0904000002,,,,,,
S0904000003,朝日町,36.5674963902894,139.75280693929,0,1,,,,,,,
S090400000300100,朝日町,36.5674443100209,139.752702783745,Z000820,0,S0904000003,,,,,,
S090400000300200,朝日町,36.5675745092639,139.752911093738,Z000820,0,S0904000003,,,,,,
S0904000004,上田町,36.5671751805553,139.750411324816,0,1,,,,,,,
S090400000400100,上田町,36.567157824274,139.750515483286,Z000830,0,S0904000004,,,,,,
S0904000005,天神町,36.5671490828247,139.748258732635,0,1,,,,,,,
S090400000500100,天神町,36.5671056773655,139.747980980493,Z000840,0,S0904000005,,,,,,
S090400000500200,天神町,36.5672011707086,139.748640642151,Z000840,0,S0904000005,,,,,,
S0904000006,久保町,36.5661942960007,139.747008879994,0,1,,,,,,,
S090400000600100,久保町,36.5663244914346,139.747078313001,Z000850,0,S0904000006,,,,,,
S090400000600200,久保町,36.566081459704,139.746939446254,Z000850,0,S0904000006,,,,,,
S0904000012,鳥居跡町,36.557236977266,139.74687038032,0,1,,,,,,,
S090400001200100,鳥居跡町,36.5578532266494,139.746870354367,Z000890,0,S0904000012,,,,,,
S090400001200200,鳥居跡町,36.5580528538759,139.746766188219,Z000890,0,S0904000012,,,,,,
S0904000013,鹿沼商工入口,36.5544247960226,139.746835779497,0,1,,,,,,,
S090400001300100,鹿沼商工入口,36.5544942344766,139.746905215067,Z000900,0,S0904000013,,,,,,
S090400001300200,鹿沼商工入口,36.554390075844,139.746766342465,Z000900,0,S0904000013,,,,,,
S0904000014,鹿沼営業所,36.5530881367135,139.746627520297,0,1,,,,,,,
S090400001400100,鹿沼営業所,36.5530794571446,139.746627520663,Z000910,0,S0904000014,,,,,,
S0904000015,おもちゃのまち駅,36.4664075295926,139.828881069305,0,1,,,,,,,
S090400001500100,おもちゃのまち駅,36.4663988500222,139.82888106967,Z000000,0,S0904000015,,,,,,
S0904000016,助谷入口,36.4668067422433,139.827145089881,0,1,,,,,,,
S090400001600100,助谷入口,36.4668674992359,139.827145087329,Z000010,0,S0904000016,,,,,,
S090400001600200,助谷入口,36.4667633443914,139.827145091705,Z000010,0,S0904000016,,,,,,
S090400001600101,助谷入口,36.4668674992359,139.827145087329,Z000011,0,S0904000016,,,,,,
S090400001600201,助谷入口,36.4667633443914,139.827145091705,Z000011,0,S0904000016,,,,,,
S0904000017,獨協医大入口,36.4705650038162,139.827422685988,0,1,,,,,,,
S090400001700100,獨協医大入口,36.4705650038162,139.827422685988,Z000020,0,S0904000017,,,,,,
S0904000018,獨協医大病院前,36.4713895058885,139.825339496173,0,1,,,,,,,
S090400001800100,獨協医大病院前,36.4714155436477,139.825304775827,Z000030,0,S0904000018,,,,,,
S0904000019,宇都宮グリーンタウン,36.6409201936633,139.874043445918,0,1,,,,,,,
S090400001900100,宇都宮グリーンタウン,36.6407639595178,139.873974014051,Z005490,0,S0904000019,,,,,,
S090400001900200,宇都宮グリーンタウン,36.6410330299667,139.874112879626,Z005490,0,S0904000019,,,,,,
S0904000020,グリーンタウン西,36.6373528795442,139.873626966288,0,1,,,,,,,
S090400002000100,グリーンタウン西,36.6375611844044,139.873453361211,Z005500,0,S0904000020,,,,,,
S090400002000200,グリーンタウン西,36.6371792929579,139.873800569892,Z005500,0,S0904000020,,,,,,
S0904000021,グリーンタウン中央,36.6358774323045,139.876508726475,0,1,,,,,,,
S090400002100100,グリーンタウン中央,36.6358427130736,139.876474008699,Z005510,0,S0904000021,,,,,,
S090400002100200,グリーンタウン中央,36.6359295135425,139.876647601259,Z005510,0,S0904000021,,,,,,
S0904000022,グリーンタウン東,36.6367975411948,139.879216788804,0,1,,,,,,,
S090400002200100,グリーンタウン東,36.6369451005574,139.879459817282,Z005520,0,S0904000022,,,,,,
S090400002200200,グリーンタウン東,36.6366326207817,139.878904322566,Z005520,0,S0904000022,,,,,,
S0904000023,宇都宮グリーンタウン入口,36.6394795881472,139.881403987643,0,1,,,,,,,
S090400002300100,宇都宮グリーンタウン入口,36.639358075145,139.881438712048,Z005530,0,S0904000023,,,,,,
S090400002300200,宇都宮グリーンタウン入口,36.6395663819184,139.881334545464,Z005530,0,S0904000023,,,,,,
S0904000024,立伏,36.6421268565351,139.8814038753,0,1,,,,,,,
S090400002400100,立伏,36.6421355380175,139.881473313427,Z005540,0,S0904000024,,,,,,
S090400002400200,立伏,36.6421181750526,139.881334437172,Z005540,0,S0904000024,,,,,,
S0904000025,太陽ヶ丘団地入口,36.6421012140915,139.895777645227,0,1,,,,,,,
S090400002500100,太陽ヶ丘団地入口,36.6420838549544,139.895777645964,Z005550,0,S0904000025,,,,,,
S090400002500200,太陽ヶ丘団地入口,36.6421359323656,139.895777643753,Z005550,0,S0904000025,,,,,,
S0904000026,自由ヶ丘団地入口,36.6409817192049,139.901922999793,0,1,,,,,,,
S090400002600100,自由ヶ丘団地入口,36.6409556814567,139.901957720148,Z005560,0,S0904000026,,,,,,
S090400002600200,自由ヶ丘団地入口,36.6410337966166,139.901922997582,Z005560,0,S0904000026,,,,,,
S0904000027,田原小学校,36.6402700759657,139.904874166174,0,1,,,,,,,
S090400002700100,田原小学校,36.6402700750082,139.904839446925,Z005570,0,S0904000027,,,,,,
S090400002700200,田原小学校,36.6402787564918,139.904908885054,Z005570,0,S0904000027,,,,,,
S0904000028,田原中学校前,36.6376575047414,139.904110453622,0,1,,,,,,,
S090400002800100,田原中学校前,36.6378918550098,139.904179882171,Z005580,0,S0904000028,,,,,,
S090400002800200,田原中学校前,36.6374578727476,139.904041023599,Z005580,0,S0904000028,,,,,,
S0904000029,下田原交差点,36.6340120428181,139.902548242165,0,1,,,,,,,
S090400002900100,下田原交差点,36.6335954216063,139.902478821351,Z005590,0,S0904000029,,,,,,
S090400002900200,下田原交差点,36.633595423521,139.902548259848,Z005590,0,S0904000029,,,,,,
S090400002900300,下田原交差点,36.6340380910975,139.902895433552,Z005590,0,S0904000029,,,,,,
S090400002900400,下田原交差点,36.634098847121,139.902860711723,Z005590,0,S0904000029,,,,,,
S0904000030,下田原,36.6288563904849,139.90296509197,0,1,,,,,,,
S090400003000100,下田原,36.6289084678974,139.90296508976,Z005600,0,S0904000030,,,,,,
S090400003000200,下田原,36.6287956335036,139.902965094549,Z005600,0,S0904000030,,,,,,
S0904000031,山田橋,36.6206195016996,139.903763984186,0,1,,,,,,,
S090400003100100,山田橋,36.6207583728872,139.903694539796,Z005610,0,S0904000031,,,,,,
S090400003100200,山田橋,36.6203938357802,139.903868151509,Z005610,0,S0904000031,,,,,,
S0904000032,塚原,36.6164532780107,139.902653144902,0,1,,,,,,,
S090400003200100,塚原,36.6163751571058,139.902479551966,Z005620,0,S0904000032,,,,,,
S090400003200200,塚原,36.6165487561394,139.902757298603,Z005620,0,S0904000032,,,,,,
S0904000033,北山霊園前,36.6115405778858,139.900327163473,0,1,,,,,,,
S090400003300100,北山霊園前,36.6117054896959,139.900327156481,Z005630,0,S0904000033,,,,,,
S090400003300200,北山霊園前,36.6113930252134,139.900327169728,Z005630,0,S0904000033,,,,,,
S0904000034,岩本,36.6064369367923,139.898348382566,0,1,,,,,,,
S090400003400100,岩本,36.606532413008,139.89838309777,Z005640,0,S0904000034,,,,,,
S090400003400200,岩本,36.6062980636881,139.898348388452,Z005640,0,S0904000034,,,,,,
S0904000035,関沢,36.6027914977117,139.897619432807,0,1,,,,,,,
S090400003500100,関沢,36.6028175345058,139.897549993202,Z005650,0,S0904000035,,,,,,
S090400003500200,関沢,36.6027307426413,139.897688873881,Z005650,0,S0904000035,,,,,,
S0904000036,豊郷中学校前,36.6005087844377,139.898105599037,0,1,,,,,,,
S090400003600100,豊郷中学校前,36.6005261426194,139.898070879052,Z005660,0,S0904000036,,,,,,
S090400003600200,豊郷中学校前,36.600491426256,139.898140319023,Z005660,0,S0904000036,,,,,,
S0904000037,豊郷中央小前,36.5965768965957,139.89654339935,0,1,,,,,,,
S090400003700100,豊郷中央小前,36.5967678241645,139.895710129253,Z002680,0,S0904000037,,,,,,１
S090400003700200,豊郷中央小前,36.5975143034496,139.897029429145,Z002680,0,S0904000037,,,,,,２
S090400003700300,豊郷中央小前,36.5967158012614,139.89768912873,Z002680,0,S0904000037,,,,,,３
S090400003700400,豊郷中央小前,36.5958912020277,139.896230955143,Z002680,0,S0904000037,,,,,,４
S090400003700500,豊郷中央小前,36.5978788415268,139.8968905367,Z002680,0,S0904000037,,,,,,５
S090400003700600,豊郷中央小前,36.5974449233239,139.89907786786,Z002680,0,S0904000037,,,,,,６
S0904000038,北高西,36.5925755798375,139.895258956565,0,1,,,,,,,
S090400003800100,北高西,36.592914083035,139.895258942229,Z002670,0,S0904000038,,,,,,
S090400003800200,北高西,36.5923759497466,139.89525896502,Z002670,0,S0904000038,,,,,,
S0904000039,岩曽西,36.5869945527845,139.892933003101,0,1,,,,,,,
S090400003900100,岩曽西,36.5870032304416,139.892863564231,Z004230,0,S0904000039,,,,,,
S090400003900200,岩曽西,36.5869771965142,139.893037161587,Z004230,0,S0904000039,,,,,,
S0904000040,富士見が丘入口,36.582220738076,139.891058365644,0,1,,,,,,,
S090400004000100,富士見が丘入口,36.5822641340107,139.890988925305,Z002950,0,S0904000040,,,,,,
S090400004000200,富士見が丘入口,36.5821773421414,139.891127805981,Z002950,0,S0904000040,,,,,,
S0904000041,山本,36.5799900725202,139.890468232787,0,1,,,,,,,
S090400004100100,山本,36.5796428849692,139.890294651226,Z002940,0,S0904000041,,,,,,
S090400004100200,山本,36.5806236877695,139.890711240728,Z002940,0,S0904000041,,,,,,
S0904000042,上大曽,36.5769522117903,139.890051730328,0,1,,,,,,,
S090400004200100,上大曽,36.5766831441852,139.890017022462,Z002930,0,S0904000042,,,,,,
S090400004200200,上大曽,36.5772559986284,139.890121155976,Z002930,0,S0904000042,,,,,,
S0904000043,大曽十文字,36.5740185173492,139.890051854453,0,1,,,,,,,
S090400004300100,大曽十文字,36.573905681036,139.889982420725,Z004220,0,S0904000043,,,,,,
S090400004300200,大曽十文字,36.5741053139986,139.890086570033,Z004220,0,S0904000043,,,,,,
S0904000044,宇商高校前,36.570798395194,139.889982552174,0,1,,,,,,,
S090400004400100,宇商高校前,36.5709459469184,139.889947826682,Z004210,0,S0904000044,,,,,,
S090400004400200,宇商高校前,36.5706768831334,139.890051995816,Z004210,0,S0904000044,,,,,,
S0904000045,大曽一丁目,36.567838657241,139.889809081107,0,1,,,,,,,
S090400004500100,大曽一丁目,36.5678299757604,139.889739642971,Z004200,0,S0904000045,,,,,,
S090400004500200,大曽一丁目,36.5678386581965,139.889843800358,Z004200,0,S0904000045,,,,,,
S0904000046,東校西,36.5665627576645,139.889704977313,0,1,,,,,,,
S090400004600100,東校西,36.5666061545564,139.889670256227,Z004190,0,S0904000046,,,,,,
S090400004600200,東校西,36.5665193617282,139.889774417652,Z004190,0,S0904000046,,,,,,
S0904000047,塙田十文字,36.5644102167909,139.88942731433,0,1,,,,,,,
S090400004700100,塙田十文字,36.564436254544,139.889392593978,Z004180,0,S0904000047,,,,,,
S090400004700200,塙田十文字,36.5644449369797,139.889496751365,Z004180,0,S0904000047,,,,,,
S0904000048,宮島町十文字,36.5608602489775,139.888559483144,0,1,,,,,,,
S090400004800100,宮島町十文字,36.5610425075182,139.888108125169,Z000230,0,S0904000048,,,,,,１
S090400004800200,宮島町十文字,36.5619104854878,139.888871912004,Z000230,0,S0904000048,,,,,,２
S090400004800300,宮島町十文字,36.5607127020275,139.888767804891,Z000230,0,S0904000048,,,,,,３
S090400004800400,宮島町十文字,36.5614938594634,139.888628894858,Z000230,0,S0904000048,,,,,,４
S090400004800101,宮島町十文字,36.5610425075182,139.888108125169,Z000231,0,S0904000048,,,,,,１
S090400004800201,宮島町十文字,36.5619104854878,139.888871912004,Z000231,0,S0904000048,,,,,,２
S090400004800301,宮島町十文字,36.5607127020275,139.888767804891,Z000231,0,S0904000048,,,,,,３
S090400004800401,宮島町十文字,36.5614938594634,139.888628894858,Z000231,0,S0904000048,,,,,,４
S0904000049,大工町,36.5604002929353,139.89078153469,0,1,,,,,,,
S090400004900100,大工町,36.5603308535128,139.890677379871,Z000220,0,S0904000049,,,,,,
S090400004900200,大工町,36.5605044496806,139.890850968789,Z000220,0,S0904000049,,,,,,
S090400004900101,大工町,36.5603308535128,139.890677379871,Z000221,0,S0904000049,,,,,,
S090400004900201,大工町,36.5605044496806,139.890850968789,Z000221,0,S0904000049,,,,,,
S0904000050,上河原,36.5599143058298,139.893281341358,0,1,,,,,,,
S090400005000100,上河原,36.5597580859983,139.893732698236,Z000210,0,S0904000050,,,,,,
S090400005000200,上河原,36.5600965672363,139.892934141135,Z000210,0,S0904000050,,,,,,
S090400005000101,上河原,36.5597580859983,139.893732698236,Z000211,0,S0904000050,,,,,,
S090400005000201,上河原,36.5600965672363,139.892934141135,Z000211,0,S0904000050,,,,,,
S0904000051,宮の橋,36.5597407593448,139.894913153528,0,1,,,,,,,
S090400005100100,宮の橋,36.5597494379589,139.894878433909,Z000200,0,S0904000051,,,,,,
S090400005100101,宮の橋,36.5597494379589,139.894878433909,Z000201,0,S0904000051,,,,,,
S0904000052,宇都宮駅西口,36.5591853433314,139.89769071716,0,1,,,,,,,
S090400005200100,宇都宮駅西口,36.5587513667623,139.897760174015,Z000190,0,S0904000052,,,,,,１・２
S090400005200200,宇都宮駅西口,36.5588555225531,139.897794888862,Z000190,0,S0904000052,,,,,,２
S090400005200300,宇都宮駅西口,36.5594630943361,139.897864301675,Z000190,0,S0904000052,,,,,,５
S090400005200400,宇都宮駅西口,36.5587166446618,139.897621298475,Z000190,0,S0904000052,,,,,,６
S090400005200500,宇都宮駅西口,36.558812120883,139.89765601369,Z000190,0,S0904000052,,,,,,７
S090400005200600,宇都宮駅西口,36.5590204315089,139.897690724133,Z000190,0,S0904000052,,,,,,８
S090400005200700,宇都宮駅西口,36.5592374217045,139.89772543421,Z000190,0,S0904000052,,,,,,９
S090400005200800,宇都宮駅西口,36.5594196945772,139.897794865007,Z000190,0,S0904000052,,,,,,１０
S090400005200900,宇都宮駅西口,36.5587513591181,139.89748242,Z000190,0,S0904000052,,,,,,１１
S090400005201000,宇都宮駅西口,36.558907593282,139.897551851897,Z000190,0,S0904000052,,,,,,１２
S090400005201100,宇都宮駅西口,36.5590464673512,139.897586565277,Z000190,0,S0904000052,,,,,,１３
S090400005201200,宇都宮駅西口,36.5592721371163,139.897621274987,Z000190,0,S0904000052,,,,,,１４
S090400005201400,宇都宮駅西口,36.5586124860045,139.897482425872,Z000190,0,S0904000052,,,,,,３８
S090400005201500,宇都宮駅西口,36.5596540400896,139.897690697341,Z000190,0,S0904000052,,,,,,
S090400005201501,宇都宮駅西口,36.5596540400896,139.897690697341,Z000191,0,S0904000052,,,,,,
S0904000053,馬場町,36.5611552807822,139.885886088308,0,1,,,,,,,
S090400005300100,馬場町,36.5611292296551,139.885434739141,Z000240,0,S0904000053,,,,,,１
S090400005300200,馬場町,36.5611379073141,139.885365300271,Z000240,0,S0904000053,,,,,,２
S090400005300300,馬場町,36.561155262632,139.885226422532,Z000240,0,S0904000053,,,,,,３
S090400005300400,馬場町,36.5610771770753,139.886337441879,Z000240,0,S0904000053,,,,,,４
S090400005300500,馬場町,36.5613462179374,139.885400010717,Z000240,0,S0904000053,,,,,,５
S090400005300501,馬場町,36.5613462179374,139.885400010717,Z000241,0,S0904000053,,,,,,５
S0904000054,県庁前（栃木）,36.5615457830792,139.883039093188,0,1,,,,,,,
S090400005400100,県庁前（栃木）,36.5616933214322,139.882518298182,Z000250,0,S0904000054,,,,,,１
S090400005400200,県庁前（栃木）,36.5620839192529,139.883143228193,Z000250,0,S0904000054,,,,,,２
S090400005400300,県庁前（栃木）,36.5614156057756,139.883629325963,Z000250,0,S0904000054,,,,,,３
S090400005400400,県庁前（栃木）,36.561485008899,139.882414149234,Z000250,0,S0904000054,,,,,,４
S090400005400500,県庁前（栃木）,36.5637677576409,139.88321259551,Z000250,0,S0904000054,,,,,,５
S090400005400600,県庁前（栃木）,36.5615718466236,139.883941792621,Z000250,0,S0904000054,,,,,,
S090400005400201,県庁前（栃木）,36.5620839192529,139.883143228193,Z000251,0,S0904000054,,,,,,２
S0904000055,東武駅前,36.5616759116684,139.880678178602,0,1,,,,,,,
S090400005500100,東武駅前,36.5615804373593,139.880712901889,Z000260,0,S0904000055,,,,,,１
S090400005500200,東武駅前,36.5617887451163,139.880643454581,Z000260,0,S0904000055,,,,,,２
S0904000056,伝馬町,36.5618494046802,139.8771020884,0,1,,,,,,,
S090400005600100,伝馬町,36.5617973100723,139.876477144082,Z000520,0,S0904000056,,,,,,
S090400005600200,伝馬町,36.5619015164804,139.878351979237,Z000520,0,S0904000056,,,,,,
S090400005600300,伝馬町,36.5617279098096,139.877796478558,Z000520,0,S0904000056,,,,,,
S0904000057,裁判所前（宇都宮市）,36.5620316145153,139.874880048632,0,1,,,,,,,
S090400005700100,裁判所前（宇都宮市）,36.5619187801126,139.874880053401,Z000530,0,S0904000057,,,,,,
